iter	Logloss
0	0.6873856855
1	0.6811002697
2	0.6755982368
3	0.6698575571
4	0.6637722254
5	0.6581623936
6	0.6531376376
7	0.6480214485
8	0.6431453858
9	0.6374411577
10	0.6319105867
11	0.6266682591
12	0.6220843593
13	0.6170728364
14	0.6130765338
15	0.6093117279
16	0.604724792
17	0.6005504849
18	0.5965471913
19	0.5928181922
20	0.5893717373
21	0.5860634923
22	0.5827864111
23	0.5790612347
24	0.5757577783
25	0.5729654452
26	0.5697697329
27	0.5663647899
28	0.5632493305
29	0.5597804871
30	0.5571063996
31	0.5539200822
32	0.551339838
33	0.5479272485
34	0.5450700459
35	0.5416201214
36	0.5391840588
37	0.5359949851
38	0.5334408988
39	0.5310448313
40	0.5285727257
41	0.5264911207
42	0.5237476854
43	0.5214205487
44	0.5191559391
45	0.5173827821
46	0.5153909256
47	0.5130967411
48	0.510707335
49	0.5092908167
50	0.5071893896
51	0.5050566598
52	0.502943867
53	0.5012277388
54	0.4992224197
55	0.4972463563
56	0.4950935128
57	0.4932851395
58	0.4916424751
59	0.4904717876
60	0.4888868747
61	0.4868362775
62	0.4850707161
63	0.4831759965
64	0.4817516042
65	0.4801647423
66	0.4785979075
67	0.4776421507
68	0.4765385212
69	0.4749174796
70	0.4731564961
71	0.4721297952
72	0.471422574
73	0.4702159058
74	0.4687195927
75	0.4677254281
76	0.4661438192
77	0.4646349096
78	0.4634941955
79	0.4621882622
80	0.460940231
81	0.4595497231
82	0.4585378987
83	0.4575805873
84	0.4568129885
85	0.4555302133
86	0.4546079867
87	0.4532622448
88	0.452766361
89	0.4519312585
90	0.4510139308
91	0.4502586205
92	0.449694827
93	0.4491734132
94	0.4483052723
95	0.4473355934
96	0.446399966
97	0.4455146431
98	0.4450851292
99	0.4444313889
100	0.4437918851
101	0.4434085164
102	0.4426057893
103	0.4419943353
104	0.4411794853
105	0.4404862525
106	0.4397764056
107	0.438876937
108	0.4382496445
109	0.4377140614
110	0.4368252594
111	0.4361928279
112	0.4356157186
113	0.4351416755
114	0.43470039
115	0.4343913938
116	0.4335475583
117	0.4330336494
118	0.4325233042
119	0.4318454566
120	0.4313808464
121	0.4306026988
122	0.4300578263
123	0.4294741458
124	0.4288625664
125	0.4284322005
126	0.4279928169
127	0.4273112022
128	0.426743095
129	0.4263483758
130	0.4255358619
131	0.4248569007
132	0.424082642
133	0.4233474627
134	0.4227253231
135	0.4222573995
136	0.4218519881
137	0.4214517454
138	0.420798192
139	0.4201335783
140	0.4196030851
141	0.419400288
142	0.4190807683
143	0.4186738033
144	0.4180801859
145	0.4179021831
146	0.4175622732
147	0.4171542954
148	0.4167336529
149	0.416125233
150	0.4158662848
151	0.41553565
152	0.4151644352
153	0.4150262732
154	0.4146921306
155	0.414527437
156	0.4141604552
157	0.4139048787
158	0.413393068
159	0.4131251229
160	0.4128215799
161	0.4125743439
162	0.4119260645
163	0.4114363844
164	0.4112111558
165	0.4110075152
166	0.4108557281
167	0.4105394386
168	0.4103506791
169	0.4100906022
170	0.4097943736
171	0.4095725577
172	0.409380798
173	0.4090072051
174	0.4085359985
175	0.4083357606
176	0.408158753
177	0.4077189525
178	0.4075012373
179	0.4071548273
180	0.4069153281
181	0.4064935765
182	0.4061852444
183	0.4060258877
184	0.4057485112
185	0.4055996078
186	0.4053439058
187	0.405037013
188	0.4049781911
189	0.4048200021
190	0.404708522
